Product ID,Product Name,Category,Sub Category,Price USD,Stock Quantity,Description,Supplier,Unit,Expiry Days,Discount Percentage
G001,Organic Whole Milk,Dairy & Eggs,Milk & Cream,4.99,150,Fresh organic whole milk from local farms - 1 gallon,Fresh Dairy Co,1 Gallon,21,0
G002,Low Fat Yogurt,Dairy & Eggs,Yogurt,3.49,200,Creamy low-fat Greek yogurt with live cultures - 32oz,YogurtPro,32 oz,14,5
G003,Cheddar Cheese Block,Dairy & Eggs,Cheese,6.99,100,Aged sharp cheddar cheese - 1 lb,Cheese Masters,1 lb,45,0
G004,Farm Fresh Eggs,Dairy & Eggs,Eggs,5.99,300,Free-range brown eggs - 1 dozen,Sunshine Farms,12 Count,7,0
G005,Mozzarella String Cheese,Dairy & Eggs,Cheese,4.49,250,Low-moisture mozzarella string cheese - 12 oz,Dairyland,12 oz,30,10
G006,Feta Cheese Crumbles,Dairy & Eggs,Cheese,5.49,120,Authentic Greek feta cheese crumbles - 8 oz,Mediterranean Foods,8 oz,35,0
G007,Butter Unsalted,Dairy & Eggs,Butter,4.29,180,Premium unsalted butter - 1 lb,Golden Dairy,1 lb,60,0
G008,Sour Cream,Dairy & Eggs,Cream,2.99,140,Full fat sour cream - 16 oz,Cream Valley,16 oz,21,5
G009,Whole Wheat Bread,Bakery,Bread,3.49,120,Fresh whole wheat loaf - 24 oz,Village Bakery,1 Loaf,3,15
G010,Sourdough Bread,Bakery,Bread,4.99,80,Artisan sourdough with tangy flavor - 20 oz,Artisan Bakers,1 Loaf,4,0
G011,Croissants,Bakery,Pastries,5.99,60,Buttery French croissants - 4 pack,French Bakehouse,4 Pack,2,20
G012,Blueberry Muffins,Bakery,Pastries,4.49,90,Fresh blueberry muffins - 6 pack,Morning Glory Bakery,6 Pack,2,10
G013,Ciabatta Rolls,Bakery,Bread,3.99,100,Italian ciabatta rolls - 6 pack,European Breads,6 Pack,3,0
G014,Bagels Assorted,Bakery,Bread,4.29,110,Mixed bagel assortment - 6 pack,Bagel Town,6 Pack,4,5
G015,Whole Grain Cereal,Cereals & Grains,Cereals,4.99,200,High fiber whole grain cereal - 15 oz,Grain Goodness,15 oz,180,0
G016,Honey Oat Granola,Cereals & Grains,Cereals,5.49,150,Honey roasted oat granola - 14 oz,Nature's Best,14 oz,180,5
G017,Brown Rice,Cereals & Grains,Rice,3.49,250,Long grain brown rice - 2 lb,Rice Kingdom,2 lb,365,0
G018,White Jasmine Rice,Cereals & Grains,Rice,4.99,200,Thai jasmine rice - 2 lb,Asian Grains,2 lb,365,0
G019,Pasta Spaghetti,Cereals & Grains,Pasta,1.99,400,Semolina spaghetti - 1 lb,Italian Pasta Co,1 lb,365,10
G020,Whole Wheat Pasta,Cereals & Grains,Pasta,2.49,350,Whole wheat penne pasta - 1 lb,Health Grains,1 lb,365,5
G021,Oatmeal Steel Cut,Cereals & Grains,Oats,5.99,180,Steel cut oats - 28 oz,Morning Oats,28 oz,365,0
G022,Quinoa White,Cereals & Grains,Grains,6.99,120,Organic white quinoa - 1 lb,Superfood Grains,1 lb,365,0
G023,Apples Gala,Produce,Fruits,2.99,500,Crispy Gala apples - per lb,Orchard Fresh,per lb,14,0
G024,Bananas Yellow,Produce,Fruits,0.59,600,Ripe yellow bananas - per lb,Tropical Fruits,per lb,5,0
G025,Organic Blueberries,Produce,Fruits,5.99,200,Fresh organic blueberries - 1 pint,Berry Farms,1 pint,7,0
G026,Strawberries,Produce,Fruits,4.49,250,Fresh red strawberries - 1 lb,Berry Paradise,1 lb,5,10
G027,Oranges Navel,Produce,Fruits,3.99,400,Sweet navel oranges - per lb,Citrus Valley,per lb,21,0
G028,Lemons,Produce,Fruits,1.49,300,Juicy lemons - per lb,Citrus Fresh,per lb,21,0
G029,Grapes Red,Produce,Fruits,3.49,280,Sweet red grapes - 2 lb bag,Vineyard Fresh,2 lb bag,10,5
G030,Watermelon,Produce,Fruits,7.99,150,Fresh watermelon - whole,Farm Fresh,Each,7,0
G031,Broccoli,Produce,Vegetables,2.49,200,Fresh broccoli crowns - per lb,Green Valley,per lb,7,0
G032,Carrots Orange,Produce,Vegetables,1.99,350,Fresh orange carrots - 2 lb bag,Root Vegetables,2 lb bag,21,0
G033,Spinach Fresh,Produce,Vegetables,3.99,150,Baby spinach leaves - 5 oz,Leafy Greens,5 oz,5,10
G034,Tomatoes Beefsteak,Produce,Vegetables,2.99,300,Ripe beefsteak tomatoes - per lb,Garden Fresh,per lb,10,0
G035,Bell Peppers Assorted,Produce,Vegetables,1.99,400,Mixed color bell peppers - per lb,Pepper Farm,per lb,14,0
G036,Lettuce Romaine,Produce,Vegetables,2.49,200,Fresh romaine lettuce head - each,Crisp Greens,Each,7,5
G037,Cucumbers English,Produce,Vegetables,1.99,250,Long English cucumbers - each,Garden Picks,Each,10,0
G038,Potatoes Russet,Produce,Vegetables,3.99,400,Russet potatoes - 5 lb bag,Potato Kingdom,5 lb bag,30,0
G039,Sweet Potatoes,Produce,Vegetables,4.49,200,Orange sweet potatoes - 3 lb bag,Root Farm,3 lb bag,45,0
G040,Onions Yellow,Produce,Vegetables,2.49,300,Yellow cooking onions - 3 lb bag,Allium Farm,3 lb bag,60,0
G041,Garlic Fresh,Produce,Vegetables,3.99,150,Fresh garlic bulbs - 1 lb,Garlic Paradise,1 lb,45,0
G042,Ground Beef 80/20,Meat & Seafood,Beef,7.99,180,Lean ground beef - 1 lb,Ranch Cattle,1 lb,3,5
G043,Beef Ribeye Steak,Meat & Seafood,Beef,14.99,80,Premium ribeye steak - per lb,Prime Meats,per lb,5,0
G044,Chicken Breast,Meat & Seafood,Poultry,9.99,250,Boneless skinless chicken breast - per lb,Farm Poultry,per lb,3,0
G045,Whole Chicken,Meat & Seafood,Poultry,8.99,120,Fresh whole chicken - per lb,Poultry Paradise,per lb,3,0
G046,Turkey Ground,Meat & Seafood,Poultry,7.49,150,Lean ground turkey - 1 lb,Thanksgiving Farm,1 lb,3,10
G047,Salmon Fillet,Meat & Seafood,Seafood,12.99,100,Fresh Atlantic salmon - per lb,Ocean Fresh,per lb,2,0
G048,Shrimp Jumbo,Meat & Seafood,Seafood,14.99,80,Large jumbo shrimp - 1 lb,Sea Harvest,1 lb,2,0
G049,Tilapia Fillet,Meat & Seafood,Seafood,9.99,120,Fresh tilapia fillets - per lb,Fish Market,per lb,2,5
G050,Pork Chops Boneless,Meat & Seafood,Pork,10.99,140,Boneless pork chops - per lb,Pork Palace,per lb,4,0
G051,Canned Tomato Sauce,Canned & Packaged,Canned Vegetables,2.49,400,Pure tomato sauce - 15 oz,Harvest Canning,15 oz,365,0
G052,Canned Beans Black,Canned & Packaged,Canned Vegetables,1.99,500,No salt added black beans - 15 oz,Bean Harvest,15 oz,365,5
G053,Canned Chickpeas,Canned & Packaged,Canned Vegetables,1.79,450,Organic chickpeas - 15 oz,Legume Land,15 oz,365,0
G054,Canned Corn Sweet,Canned & Packaged,Canned Vegetables,1.49,550,Whole kernel sweet corn - 15 oz,Corn Valley,15 oz,365,10
G055,Peanut Butter Creamy,Canned & Packaged,Spreads,3.99,300,Natural creamy peanut butter - 18 oz,Nut Butter Co,18 oz,365,0
